index_pt,cluster,pt
0,11,ADAMTS13 activity decreased
1,11,Abdominal adhesions
2,11,Abdominal distension
3,11,Abdominal infection
4,11,Abdominal mass
5,11,Abdominal neoplasm
6,11,Abdominal operation
7,11,Abdominal wall haemorrhage
8,11,Abdominal wall wound
9,11,Abnormal faeces
10,11,Abnormal uterine bleeding
11,11,Abnormal weight gain
12,11,Abscess bacterial
13,11,Abscess drainage
14,11,Accelerated hypertension
15,7,Accelerated idioventricular rhythm
16,11,Accidental overdose
17,11,Accidental poisoning
18,8,Acetonaemia
19,11,Achlorhydria
20,11,Acidosis hyperchloraemic
21,11,Acinetobacter bacteraemia
22,11,Acne
23,11,Acne cystic
24,11,Acquired cardiac septal defect
25,11,Acquired claw toe
26,11,Acquired oesophageal web
27,11,Acrochordon
28,11,Actinic keratosis
29,11,Activated partial thromboplastin time abnormal
30,11,Activated partial thromboplastin time prolonged
31,11,Acute disseminated encephalomyelitis
32,11,Acute endocarditis
33,11,Acute febrile neutrophilic dermatosis
34,11,Acute hepatic failure
35,11,Acute hepatitis C
36,11,Acute left ventricular failure
37,11,Acute macular neuroretinopathy
38,11,Acute myocardial infarction
39,5,Acute painful neuropathy of rapid glycaemic control
40,11,Acute phosphate nephropathy
41,11,Acute psychosis
42,11,Acute pulmonary histoplasmosis
43,11,Acute respiratory distress syndrome
44,11,Acute stress disorder
45,8,Adactyly
46,11,Adenoma benign
47,11,Adenovirus test positive
48,11,Adjustment disorder with depressed mood
49,11,Adjustment disorder with mixed anxiety and depressed mood
50,8,Administration site cellulitis
51,7,Administration site discolouration
52,11,Administration site discomfort
53,11,Administration site pruritus
54,11,Administration site rash
55,11,Administration site reaction
56,11,Adnexa uteri pain
57,11,Adnexal torsion
58,11,Adrenal neoplasm
59,11,Adverse food reaction
60,7,Affect lability
61,11,Agnosia
62,9,Alanine aminotransferase decreased
63,11,Albumin globulin ratio increased
64,11,Alcohol abuse
65,11,Alcohol poisoning
66,11,Alcohol rehabilitation
67,11,Alcohol use disorder
68,11,Alcoholic hangover
69,11,Alcoholic pancreatitis
70,11,Aldolase increased
71,11,Allergic cough
72,11,Allergic reaction to excipient
73,11,Allergic respiratory symptom
74,11,Allergy to animal
75,7,Allergy to immunoglobulin therapy
76,11,Alopecia universalis
77,11,Alpha haemolytic streptococcal infection
78,9,Altered visual depth perception
79,11,Amenorrhoea
80,11,Ammonia abnormal
81,11,Amnesia
82,11,Amniotic fluid volume increased
83,8,Amputation stump pain
84,11,Anaemia of chronic disease
85,11,Anal cancer
86,11,Anal fissure
87,11,Anal haemorrhage
88,11,Anal incontinence
89,7,Anal inflammation
90,11,Anal skin tags
91,5,Anal squamous cell carcinoma
92,8,Anastomotic ulcer
93,11,Androgen deficiency
94,11,Anencephaly
95,11,Angina bullosa haemorrhagica
96,11,Angioimmunoblastic T-cell lymphoma
97,11,Angiopathy
98,11,Animal scratch
99,11,Anisocytosis
100,11,Anogenital warts
101,11,Anorectal disorder
102,11,Anorectal infection
103,3,Anti factor X activity increased
104,7,Anti-cyclic citrullinated peptide antibody positive
105,11,Anti-interferon antibody positive
106,11,Anticoagulation drug level above therapeutic
107,11,Anticoagulation drug level below therapeutic
108,11,Anticoagulation drug level increased
109,11,Antisocial personality disorder
110,11,Antisynthetase syndrome
111,11,Anxiety
112,11,Aorta hypoplasia
113,11,Aortic dilatation
114,11,Aortic rupture
115,11,Aortic surgery
116,7,Aortic valve repair
117,11,Aortic valve stenosis
118,11,Aortitis
119,11,Apallic syndrome
120,11,Aphonia
121,11,Aplasia pure red cell
122,11,Apnoea
123,11,Apnoeic attack
124,11,Application site acne
125,11,Application site discharge
126,7,Application site erosion
127,11,Application site erythema
128,11,Application site haemorrhage
129,11,Application site hypersensitivity
130,11,Application site hypoaesthesia
