pt,unique_drugs,std_column,mean_column
Acute kidney injury,19,0.05012754718856071,0.03988249610307228
Depression,19,0.0525508225861701,0.03154003961516691
Confusional state,18,0.05181772861892445,0.041651117469005225
Asthenia,18,0.05469561611880954,0.04125485258629731
Death,18,0.05197865842403648,0.0413883602621988
Decreased appetite,18,0.05565530755412867,0.040758271179957874
Dizziness,18,0.06463142273635414,0.039487829225216875
Dehydration,18,0.05871795692439669,0.04118091537132982
Anxiety,18,0.05309255723353609,0.0366092367920521
Fall,18,0.052804785209383615,0.042537507588240354
Blood pressure increased,18,0.052306591188469816,0.036590917367711806
Completed suicide,18,0.03735667198168435,0.0326300368972287
Nausea,18,0.05190094828119624,0.03694480021504352
Drug ineffective,18,0.04808922752718156,0.03635839229059564
Intentional overdose,18,0.04986372112346041,0.03389088012743925
Agitation,18,0.061607430568652005,0.04076573596224248
Off label use,18,0.05126735008238692,0.03930493439485728
Constipation,18,0.05594499405793057,0.03959849039275612
Toxicity to various agents,18,0.05329304018010781,0.039658634538152555
Arthralgia,18,0.05945086097443712,0.041121044416063526
Drug hypersensitivity,17,0.052541457717754654,0.03785104328439898
Dry mouth,17,0.050921877839209914,0.04063447346663804
Diabetes mellitus,17,0.05028507573372243,0.04046775336640677
Diarrhoea,17,0.060305178695595096,0.0443488948677769
Abdominal distension,17,0.05239837126042219,0.043190616985477846
Alopecia,17,0.051147862056897274,0.03782690259650556
Abnormal behaviour,17,0.06602632759956423,0.04387426517392438
Intentional product misuse,17,0.05642701865023181,0.04132504264568311
Depressed level of consciousness,17,0.05147266508997886,0.04409924169918275
Balance disorder,17,0.06395348070644528,0.04344826453340337
Aggression,17,0.06045779796433594,0.04417334271990869
Drug interaction,17,0.04522665116830771,0.039275227199456246
Arrhythmia,17,0.04542550340815681,0.038926585378296984
Headache,17,0.05095654129702782,0.038986735561926916
Drug ineffective for unapproved indication,17,0.05345276034269495,0.042016806722689044
Condition aggravated,17,0.04930956585557244,0.0393922751286749
Abdominal discomfort,17,0.05353914287511756,0.041639446700940094
Drug abuse,17,0.05031138884364407,0.04145601617795748
Akathisia,17,0.05481923015981478,0.040583675330597306
Abdominal pain,17,0.05280663917106625,0.043402917413080784
Cognitive disorder,17,0.06823734082338469,0.04613694617356276
Blood glucose increased,16,0.062357321959426275,0.04644577238672845
Dyspnoea,16,0.05347692810927491,0.04643528838116462
Contusion,16,0.05914201695004909,0.04787824453551909
Insomnia,16,0.05385779700021402,0.04329780361757101
Coma,16,0.07729935828247853,0.051949930566270584
Chest pain,16,0.056231418962485076,0.04539080029917723
Fatigue,16,0.054288703131315605,0.043468199769623114
Exposure during pregnancy,16,0.05730146518020054,0.03832883883248727
Pneumonia,16,0.05598841088082362,0.04787125687512726
Hypertension,16,0.044172473736793026,0.03883769802780468
Cardiac failure,16,0.051110609083752576,0.04811201572150473
Foetal exposure during pregnancy,16,0.06334665968380797,0.04275777414075281
Electrocardiogram QT prolonged,16,0.05825679200730973,0.04510332845647398
Alanine aminotransferase increased,16,0.057240434073162844,0.04689611486486482
Renal impairment,16,0.05227069051082552,0.045630081300812995
Abdominal pain upper,16,0.05606944903016577,0.04540645212808428
